BPS Race,Gender,Grade,Date,Time,Absent?,Tardy?,Dismissed?,Reason,Excused?,Home Lang,Student No,Filter
Hispanic,M,11,2/16/2018,7:27 AM,FALSE,TRUE,FALSE,,FALSE,English,221979,Tardy
Black,F,10,2/16/2018,7:21 AM,FALSE,TRUE,FALSE,,FALSE,English,245448,Tardy
Hispanic,F,11,2/16/2018,8:21 AM,FALSE,TRUE,FALSE,,FALSE,English,260916,Tardy
Black,F,12,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,Somali,267154,Absent
Black,F,10,2/16/2018,9:50 AM,FALSE,TRUE,FALSE,Illness/Medical,TRUE,English,206697,Tardy
Black,F,9,2/16/2018,7:24 AM,FALSE,TRUE,FALSE,,FALSE,Cape Verdean,269543,Tardy
White,M,7,2/16/2018,7:24 AM,FALSE,TRUE,FALSE,,FALSE,English,305184,Tardy
Black,F,12,2/16/2018,8:18 AM,FALSE,TRUE,FALSE,,FALSE,Spanish,258550,Tardy
Asian,F,12,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,260514,Absent
Black,F,9,2/16/2018,7:24 AM,FALSE,TRUE,FALSE,,FALSE,English,301643,Tardy
Hispanic,M,9,2/16/2018,7:32 AM,FALSE,TRUE,FALSE,,FALSE,Spanish,400663,Tardy
Black,M,11,2/16/2018,7:54 AM,FALSE,TRUE,FALSE,,FALSE,English,357856,Tardy
Hispanic,M,8,2/16/2018,7:25 AM,FALSE,TRUE,FALSE,,FALSE,English,317888,Tardy
Hispanic,M,9,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,311323,Absent
Black,F,11,2/16/2018,8:00 AM,FALSE,TRUE,FALSE,,FALSE,English,258226,Tardy
Asian,M,9,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,295839,Absent
White,F,10,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,301285,Absent
White,F,9,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,380167,Absent
Hispanic,M,12,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,Spanish,260666,Absent
Hispanic,F,10,2/16/2018,7:20 AM,FALSE,TRUE,FALSE,,FALSE,Spanish,259124,Tardy
Hispanic,M,10,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,201526,Absent
Black,F,9,2/16/2018,7:21 AM,FALSE,TRUE,FALSE,,FALSE,English,307485,Tardy
Black,F,12,2/16/2018,8:41 AM,FALSE,TRUE,FALSE,,FALSE,English,348402,Tardy
Hispanic,F,12,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,Spanish,248986,Absent
Hispanic,F,12,2/16/2018,7:41 AM,FALSE,TRUE,FALSE,,FALSE,English,326287,Tardy
White,F,11,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,246805,Absent
White,F,9,2/16/2018,7:29 AM,FALSE,TRUE,FALSE,,FALSE,English,305785,Tardy
Hispanic,M,12,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,247647,Absent
Hispanic,F,11,2/16/2018,7:36 AM,FALSE,TRUE,FALSE,,FALSE,English,245845,Tardy
Hispanic,F,11,2/16/2018,9:24 AM,FALSE,TRUE,FALSE,,FALSE,English,258377,Tardy
White,M,7,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,325018,Absent
White,F,10,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,367418,Absent
Black,F,10,2/16/2018,7:33 AM,FALSE,TRUE,FALSE,,FALSE,English,209285,Tardy
White,F,12,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,259211,Absent
White,M,9,2/16/2018,Null,TRUE,FALSE,FALSE,,FALSE,English,307565,Absent
